iter	MultiClass
0	1.097363417
1	1.096318813
2	1.095194005
3	1.09408816
4	1.093014313
5	1.092008358
6	1.090948632
7	1.08986019
8	1.08884055
9	1.087730983
10	1.086821173
11	1.085870059
12	1.0849185
13	1.084009346
14	1.083226369
15	1.082309008
16	1.081319954
17	1.08042579
18	1.079432333
19	1.07850791
20	1.07769481
21	1.076779503
22	1.075995074
23	1.075090624
24	1.074156587
25	1.073356396
26	1.07247996
27	1.071589122
28	1.070750357
29	1.069979242
30	1.069083225
31	1.068199838
32	1.067374828
33	1.066537615
34	1.065830865
35	1.06498906
36	1.064192162
37	1.063488091
38	1.062596255
39	1.061844671
40	1.061062438
41	1.060381861
42	1.059619081
43	1.058918407
44	1.058156183
45	1.057385591
46	1.056681711
47	1.056050617
48	1.055302912
49	1.054631945
50	1.05393587
51	1.053271011
52	1.052564499
53	1.051872398
54	1.051154778
55	1.050545661
56	1.049818509
57	1.049165853
58	1.048596643
59	1.047974192
60	1.047554332
61	1.04694225
62	1.046326294
63	1.04575263
64	1.045113079
65	1.044517401
66	1.043924043
67	1.043364513
68	1.042802786
69	1.042202942
70	1.041643945
71	1.041042231
72	1.040454706
73	1.039844309
74	1.039250548
75	1.038719728
76	1.038319042
77	1.037732994
78	1.03721999
79	1.036693809
80	1.036094179
81	1.035601506
82	1.035045555
83	1.03453125
84	1.034075414
85	1.033511941
86	1.0330411
87	1.032561839
88	1.032085039
89	1.031598715
90	1.031016158
91	1.030451999
92	1.02994682
93	1.029504932
94	1.029169101
95	1.028714092
96	1.028249715
97	1.027749627
98	1.027331154
99	1.026942361
100	1.026475087
101	1.026001845
102	1.025621522
103	1.025201238
104	1.024817488
105	1.024397606
106	1.023993749
107	1.023584175
108	1.023159552
109	1.022807997
110	1.022416923
111	1.021958566
112	1.021562393
113	1.021181684
114	1.020800264
115	1.020446698
116	1.020104756
117	1.019720515
118	1.019330263
119	1.018955228
120	1.018636083
121	1.0182514
122	1.017920577
123	1.017544339
124	1.017220983
125	1.01695554
126	1.016622741
127	1.016284649
128	1.015890279
129	1.0155595
130	1.015282903
131	1.014960189
132	1.01458781
133	1.014320753
134	1.013987245
135	1.013637414
136	1.013358502
137	1.013022991
138	1.012707427
139	1.012388863
140	1.012067164
141	1.011808444
142	1.011536284
143	1.011205671
144	1.01096388
145	1.010633347
146	1.010370729
147	1.010082705
148	1.009816976
149	1.009571628
150	1.009219122
151	1.008951937
152	1.008653092
153	1.008403159
154	1.008135381
155	1.007856798
156	1.007582745
157	1.007363939
158	1.007010516
159	1.006688419
160	1.006399423
161	1.006109227
162	1.005821282
163	1.005581833
164	1.005330349
165	1.005031416
166	1.004774181
167	1.004528807
168	1.004234241
169	1.003983284
170	1.003712498
171	1.003481593
172	1.0032147
173	1.00297342
174	1.002699359
175	1.002449843
176	1.002257709
177	1.002083551
178	1.00185932
179	1.001679424
180	1.001434485
181	1.001248741
182	1.001009434
183	1.00080037
184	1.000564171
185	1.000334758
186	1.000107168
187	0.9999255713
188	0.9997083137
189	0.9995166313
190	0.9992704163
191	0.999039731
192	0.9988144376
193	0.9985950863
194	0.9983899636
195	0.9982117393
196	0.9980439622
197	0.9978900868
198	0.9977000199
199	0.9975201381
200	0.997273782
201	0.9970442728
202	0.9968814011
203	0.9966579968
204	0.9964374894
205	0.996252701
206	0.996065071
207	0.9958809358
208	0.9956803854
209	0.9954879415
210	0.9952919759
211	0.9950660719
212	0.9949079463
213	0.9946766703
214	0.9945235757
215	0.9943279757
216	0.9941563649
