iter	Passed	Remaining
0	5	4183
1	10	4058
2	14	3891
3	19	3794
4	24	3863
5	31	4026
6	35	3921
7	40	3936
8	45	3945
9	50	3935
10	58	4101
11	65	4226
12	78	4646
13	83	4557
14	88	4501
15	97	4648
16	101	4572
17	105	4495
18	110	4434
19	114	4378
20	120	4360
21	124	4298
22	128	4254
23	133	4204
24	138	4180
25	142	4154
26	148	4157
27	154	4169
28	161	4199
29	167	4198
30	172	4174
31	177	4151
32	181	4115
33	186	4107
34	192	4098
35	196	4073
36	202	4077
37	206	4048
38	210	4016
39	215	3989
40	219	3974
41	224	3951
42	228	3928
43	234	3925
44	238	3907
45	243	3889
46	248	3882
47	252	3858
48	258	3862
49	262	3844
50	267	3827
51	271	3812
52	275	3792
53	279	3773
54	284	3755
55	288	3738
56	292	3718
57	297	3712
58	301	3694
59	306	3685
60	310	3667
61	315	3664
62	319	3647
63	324	3639
64	328	3628
65	333	3614
66	338	3608
67	342	3593
68	346	3585
69	351	3571
70	355	3559
71	359	3544
72	363	3534
73	368	3521
74	372	3508
75	376	3494
76	380	3480
77	384	3468
78	388	3456
79	392	3446
80	396	3434
81	401	3424
82	405	3414
83	410	3409
84	414	3397
85	419	3393
86	423	3387
87	428	3381
88	433	3372
89	437	3360
90	441	3352
91	445	3341
92	450	3338
93	454	3325
94	459	3322
95	463	3312
96	467	3303
97	471	3293
98	476	3285
99	480	3280
100	485	3270
101	490	3267
102	494	3257
103	498	3251
104	502	3240
105	507	3234
106	511	3224
107	515	3218
108	520	3211
109	525	3208
110	529	3198
111	533	3189
112	538	3185
113	542	3178
114	547	3172
115	551	3165
116	556	3160
117	560	3151
118	564	3145
119	568	3134
120	572	3127
121	576	3119
122	580	3112
123	584	3103
124	588	3095
125	593	3087
126	596	3078
127	600	3070
128	605	3065
129	609	3058
130	613	3050
131	618	3044
132	622	3039
133	627	3034
134	631	3025
135	636	3023
136	640	3015
137	644	3008
138	648	3000
139	653	2995
140	657	2987
141	661	2981
142	665	2974
143	669	2968
144	674	2963
145	678	2955
146	683	2951
147	687	2943
148	691	2939
149	695	2930
150	700	2927
151	704	2919
152	709	2917
153	713	2910
154	718	2907
155	723	2902
156	726	2893
157	731	2887
158	735	2881
159	739	2876
160	743	2868
161	748	2863
162	752	2857
163	757	2853
164	761	2845
165	766	2843
166	770	2836
167	774	2830
168	779	2826
169	783	2820
170	788	2816
171	792	2809
172	797	2805
173	800	2798
174	805	2793
175	809	2786
176	814	2782
177	818	2775
178	822	2770
179	827	2767
180	831	2760
181	836	2757
182	840	2750
183	845	2746
184	848	2739
185	853	2735
186	857	2729
187	861	2722
188	865	2716
189	870	2711
190	875	2707
191	879	2703
192	884	2698
193	887	2691
194	892	2686
195	896	2680
196	901	2677
197	906	2674
198	910	2668
199	915	2665
200	920	2660
201	925	2656
202	929	2651
203	934	2646
204	938	2642
205	943	2637
206	947	2632
207	951	2626
208	956	2623
209	961	2618
210	965	2613
211	969	2607
212	974	2602
213	978	2597
214	982	2592
215	988	2591
216	993	2586
217	997	2581
218	1002	2578
219	1007	2572
220	1012	2569
221	1016	2564
222	1021	2560
223	1025	2555
224	1030	2550
225	1034	2546
226	1039	2540
227	1043	2536
228	1047	2530
229	1052	2526
230	1057	2521
231	1061	2516
232	1065	2510
233	1070	2506
234	1074	2500
235	1078	2496
236	1083	2490
237	1087	2485
238	1091	2479
239	1096	2475
240	1100	2471
241	1105	2465
242	1110	2462
243	1113	2455
244	1118	2451
245	1122	2445
246	1127	2441
247	1131	2436
248	1135	2431
249	1140	2427
250	1145	2422
251	1150	2419
252	1154	2414
253	1159	2410
254	1163	2405
255	1168	2399
256	1173	2396
257	1178	2392
258	1183	2389
259	1188	2385
260	1192	2381
261	1198	2377
262	1202	2373
263	1207	2369
264	1214	2368
265	1218	2364
266	1223	2360
267	1229	2358
268	1234	2353
269	1238	2349
270	1245	2348
271	1250	2345
272	1255	2340
273	1259	2335
274	1264	2331
275	1268	2326
276	1273	2321
277	1278	2317
278	1282	2312
279	1286	2307
280	1291	2302
281	1296	2298
282	1301	2294
283	1305	2289
284	1310	2285
285	1314	2279
286	1318	2274
287	1323	2269
288	1327	2265
289	1332	2260
290	1336	2254
291	1341	2250
292	1345	2244
293	1350	2240
294	1354	2235
295	1359	2231
296	1363	2226
297	1368	2221
298	1372	2217
299	1376	2212
300	1381	2207
301	1386	2202
302	1390	2198
303	1394	2193
304	1399	2188
305	1404	2184
306	1409	2180
307	1414	2177
308	1419	2172
309	1423	2167
310	1428	2162
311	1432	2157
312	1436	2152
313	1440	2147
314	1445	2142
315	1449	2137
316	1454	2133
317	1458	2127
318	1462	2123
319	1466	2117
320	1471	2113
321	1475	2107
322	1479	2102
323	1483	2097
324	1488	2092
325	1492	2087
326	1496	2082
327	1500	2077
328	1505	2073
329	1510	2068
330	1514	2063
331	1518	2058
332	1522	2053
333	1527	2048
334	1530	2042
335	1535	2038
336	1539	2032
337	1543	2027
338	1547	2022
339	1551	2016
340	1554	2010
341	1559	2006
342	1563	2000
343	1567	1996
344	1571	1990
345	1575	1985
346	1579	1980
347	1584	1975
348	1588	1970
349	1592	1965
350	1596	1960
351	1601	1956
352	1606	1951
353	1610	1946
354	1615	1942
355	1619	1937
356	1623	1933
357	1628	1928
358	1632	1923
359	1636	1918
360	1640	1913
361	1644	1907
362	1648	1903
363	1652	1897
364	1656	1892
365	1660	1887
366	1665	1883
367	1669	1878
368	1673	1873
369	1678	1868
370	1682	1863
371	1686	1858
372	1690	1853
373	1694	1849
374	1699	1844
375	1704	1840
376	1708	1835
377	1714	1832
378	1718	1827
379	1722	1822
380	1727	1818
381	1731	1813
382	1736	1808
383	1740	1803
384	1745	1799
385	1749	1795
386	1753	1790
387	1758	1785
388	1762	1780
389	1767	1776
390	1771	1771
391	1776	1767
392	1780	1762
393	1785	1757
394	1789	1753
395	1794	1748
396	1798	1744
397	1802	1739
398	1807	1735
399	1812	1730
400	1816	1726
401	1821	1721
402	1825	1717
403	1829	1712
404	1834	1707
405	1838	1703
406	1843	1698
407	1848	1694
408	1853	1690
409	1858	1685
410	1862	1680
411	1867	1677
412	1873	1673
413	1877	1668
414	1881	1664
415	1885	1659
416	1890	1654
417	1895	1650
418	1899	1645
419	1904	1641
420	1908	1636
421	1913	1632
422	1917	1627
423	1922	1623
424	1926	1618
425	1931	1613
426	1935	1609
427	1940	1604
428	1944	1599
429	1948	1595
430	1953	1590
431	1957	1586
432	1962	1581
433	1966	1577
434	1971	1572
435	1975	1567
436	1979	1563
437	1984	1558
438	1989	1554
439	1993	1549
440	1997	1544
441	2002	1540
442	2006	1535
443	2011	1531
444	2016	1526
445	2020	1522
446	2024	1517
447	2029	1512
448	2033	1508
449	2038	1504
450	2043	1499
451	2047	1494
452	2051	1490
453	2055	1485
454	2060	1480
455	2064	1475
456	2069	1471
457	2073	1466
458	2077	1462
459	2082	1457
460	2086	1453
461	2091	1448
462	2095	1443
463	2099	1439
464	2103	1434
465	2108	1429
466	2113	1425
467	2117	1420
468	2122	1416
469	2126	1411
470	2131	1407
471	2135	1402
472	2139	1397
473	2143	1392
474	2147	1388
475	2151	1383
476	2155	1378
477	2159	1373
478	2163	1368
479	2167	1363
480	2171	1358
481	2174	1353
482	2179	1349
483	2183	1344
484	2187	1339
485	2191	1334
486	2195	1330
487	2199	1324
488	2203	1320
489	2207	1315
490	2211	1310
491	2216	1306
492	2220	1301
493	2223	1296
494	2228	1291
495	2232	1287
496	2236	1282
497	2240	1277
498	2244	1272
499	2248	1267
500	2252	1263
501	2255	1258
502	2259	1253
503	2263	1248
504	2267	1243
505	2271	1238
506	2275	1234
507	2279	1229
508	2283	1224
509	2287	1219
510	2291	1215
511	2295	1210
512	2299	1205
513	2303	1201
514	2308	1196
515	2311	1191
516	2315	1187
517	2320	1182
518	2324	1177
519	2328	1173
520	2332	1168
521	2336	1163
522	2340	1159
523	2344	1154
524	2348	1149
525	2352	1144
526	2356	1140
527	2360	1135
528	2363	1130
529	2367	1125
530	2371	1121
531	2375	1116
532	2379	1111
533	2383	1106
534	2387	1102
535	2391	1097
536	2396	1093
537	2399	1088
538	2404	1083
539	2408	1079
540	2412	1074
541	2416	1069
542	2420	1065
543	2425	1060
544	2428	1056
545	2433	1051
546	2437	1046
547	2441	1042
548	2446	1038
549	2450	1033
550	2454	1028
551	2458	1024
552	2462	1019
553	2466	1015
554	2470	1010
555	2474	1005
556	2478	1001
557	2483	996
558	2486	992
559	2491	987
560	2495	983
561	2499	978
562	2503	973
563	2507	969
564	2510	964
565	2515	959
566	2519	955
567	2523	950
568	2527	946
569	2531	941
570	2535	937
571	2539	932
572	2543	927
573	2547	923
574	2551	918
575	2555	914
576	2559	909
577	2563	904
578	2567	900
579	2571	895
580	2574	890
581	2579	886
582	2582	881
583	2587	877
584	2591	872
585	2595	868
586	2599	863
587	2603	858
588	2607	854
589	2611	849
590	2615	845
591	2619	840
592	2624	836
593	2628	831
594	2631	827
595	2635	822
596	2639	817
597	2643	813
598	2646	808
599	2650	804
600	2654	799
601	2659	795
602	2662	790
603	2667	785
604	2670	781
605	2674	776
606	2678	772
607	2682	767
608	2686	763
609	2691	758
610	2695	754
611	2699	749
612	2702	745
613	2707	740
614	2710	736
615	2715	731
616	2719	727
617	2723	722
618	2727	718
619	2731	713
620	2734	708
621	2738	704
622	2742	699
623	2746	695
624	2750	690
625	2754	686
626	2758	681
627	2762	677
628	2765	672
629	2769	668
630	2773	663
631	2777	659
632	2781	654
633	2785	650
634	2789	645
635	2793	641
636	2797	636
637	2802	632
638	2806	627
639	2810	623
640	2814	619
641	2819	614
642	2822	610
643	2826	605
644	2830	601
645	2835	596
646	2838	592
647	2843	587
648	2847	583
649	2851	579
650	2854	574
651	2859	570
652	2863	565
653	2867	561
654	2871	556
655	2875	552
656	2879	547
657	2884	543
658	2888	539
659	2893	534
660	2897	530
661	2901	526
662	2906	521
663	2910	517
664	2915	512
665	2919	508
666	2923	504
667	2928	499
668	2932	495
669	2937	491
670	2941	486
671	2947	482
672	2951	477
673	2955	473
674	2959	469
675	2963	464
676	2968	460
677	2972	455
678	2976	451
679	2980	447
680	2985	442
681	2989	438
682	2993	433
683	2997	429
684	3002	425
685	3006	420
686	3011	416
687	3015	412
688	3019	407
689	3023	403
690	3028	398
691	3032	394
692	3036	389
693	3040	385
694	3045	381
695	3049	376
696	3052	372
697	3056	367
698	3060	363
699	3064	358
700	3068	354
701	3071	350
